Method,Match Type,Category,F1 Score
two-shot_run1,exact,node_texts,0.655
two-shot_run1,exact,node_classes,0.794
two-shot_run1,exact,node_text_and_class,0.587
two-shot_run1,exact,arrow_path,0.325
two-shot_run1,exact,arrow_classes,0.45
two-shot_run1,exact,arrow_labels,0.0
two-shot_run1,exact,arrow_path_and_label,0.0
two-shot_run1,exact,arrow_path_label_class,0.0
two-shot_run1,exact,group_names,0.0
two-shot_run1,exact,group_classes,0.0
two-shot_run1,exact,group_texts,0.0
two-shot_run1,exact,group_name_class_texts,0.0
two-shot_run1,exact,attribute_method_text_class,0.052
two-shot_run1,exact,diagram_recognition,0.0
two-shot_run1,normalized,node_texts,0.728
two-shot_run1,normalized,node_classes,0.794
two-shot_run1,normalized,node_text_and_class,0.652
two-shot_run1,normalized,arrow_path,0.4
two-shot_run1,normalized,arrow_classes,0.45
two-shot_run1,normalized,arrow_labels,0.483
two-shot_run1,normalized,arrow_path_and_label,0.202
two-shot_run1,normalized,arrow_path_label_class,0.074
two-shot_run1,normalized,group_names,0.0
two-shot_run1,normalized,group_classes,0.0
two-shot_run1,normalized,group_texts,0.0
two-shot_run1,normalized,group_name_class_texts,0.0
two-shot_run1,normalized,attribute_method_text_class,0.128
two-shot_run1,normalized,diagram_recognition,0.0
